tau_s,n_pairs,n_nodes,mode,tick_time_s,real_time,samples_per_tick_per_stream
0.3,1,2,reduced,0.0014932333336522181,True,3000
0.3,2,4,reduced,0.012476466673736772,True,3000
0.3,3,6,reduced,0.0045184333381863935,True,3000
0.3,4,8,reduced,0.016200399996402364,True,3000
0.3,6,12,reduced,0.0165250666711169,True,3000
0.3,8,16,reduced,0.020155199997437496,True,3000
0.3,10,20,reduced,0.025749133337133873,True,3000
0.3,12,24,reduced,0.03137686668196693,True,3000
0.3,14,28,reduced,0.043219299986958504,True,3000
0.3,16,32,reduced,0.04468613333301619,True,3000
0.3,20,40,reduced,0.06368889999187861,True,3000
0.3,24,48,reduced,0.06369280000217259,True,3000
0.3,28,56,reduced,0.09308880000996093,True,3000
0.3,32,64,reduced,0.09344186666809644,True,3000
0.3,1,2,full,0.009688933341143032,True,3000
0.3,2,4,full,0.023917333319938432,True,3000
0.3,3,6,full,0.0500642666593194,True,3000
0.3,4,8,full,0.04777310000887761,True,3000
0.3,6,12,full,0.08811959998759751,True,3000
0.3,8,16,full,0.12061636667931452,True,3000
0.3,10,20,full,0.14198466665887585,True,3000
0.3,12,24,full,0.1732213000068441,True,3000
0.3,14,28,full,0.19180603333127996,True,3000
0.3,16,32,full,0.22707770000367114,True,3000
0.3,20,40,full,0.2852396000137863,True,3000
0.3,24,48,full,0.3386966000155856,False,3000
0.3,28,56,full,0.3890464999907029,False,3000
0.3,32,64,full,0.42570003333579126,False,3000
0.5,1,2,reduced,0.0024085333182786903,True,5000
0.5,2,4,reduced,0.004173399996943772,True,5000
0.5,3,6,reduced,0.006209333330237617,True,5000
0.5,4,8,reduced,0.009295266664897403,True,5000
0.5,6,12,reduced,0.023411933332681656,True,5000
0.5,8,16,reduced,0.03562116665610423,True,5000
0.5,10,20,reduced,0.04036819998873398,True,5000
0.5,12,24,reduced,0.049967199990836285,True,5000
0.5,14,28,reduced,0.05413826667548468,True,5000
0.5,16,32,reduced,0.07435683333703007,True,5000
0.5,20,40,reduced,0.08321760001126677,True,5000
0.5,24,48,reduced,0.11121926666237414,True,5000
0.5,28,56,reduced,0.12854376666170234,True,5000
0.5,32,64,reduced,0.13804079999681562,True,5000
0.5,1,2,full,0.02250553333821396,True,5000
0.5,2,4,full,0.04446066667636236,True,5000
0.5,3,6,full,0.06462479999754578,True,5000
0.5,4,8,full,0.08653836668236181,True,5000
0.5,6,12,full,0.1513522999982039,True,5000
0.5,8,16,full,0.1958026999879318,True,5000
0.5,10,20,full,0.26458973332773894,True,5000
0.5,12,24,full,0.30922826666695374,True,5000
0.5,14,28,full,0.36606986665477353,True,5000
0.5,16,32,full,0.40541976667009294,True,5000
0.5,20,40,full,0.5111434666711526,False,5000
0.5,24,48,full,0.5940400666828888,False,5000
0.5,28,56,full,0.677632533343664,False,5000
0.5,32,64,full,0.7544053666642867,False,5000
1.0,1,2,reduced,0.012722266682734093,True,10000
1.0,2,4,reduced,0.01777090000299116,True,10000
1.0,3,6,reduced,0.02405206667026505,True,10000
1.0,4,8,reduced,0.03827040000275398,True,10000
1.0,6,12,reduced,0.04912396667835613,True,10000
1.0,8,16,reduced,0.07401946666262423,True,10000
1.0,10,20,reduced,0.08248306665336713,True,10000
1.0,12,24,reduced,0.10633929999312386,True,10000
1.0,14,28,reduced,0.12656800000695512,True,10000
1.0,16,32,reduced,0.12768259999575093,True,10000
1.0,20,40,reduced,0.15239093334336454,True,10000
1.0,24,48,reduced,0.19218436665444946,True,10000
1.0,28,56,reduced,0.21189693334357193,True,10000
1.0,32,64,reduced,0.2435285000052924,True,10000
1.0,1,2,full,0.0491833999985829,True,10000
1.0,2,4,full,0.10219396666313212,True,10000
1.0,3,6,full,0.15220573333014423,True,10000
1.0,4,8,full,0.2022226333307723,True,10000
1.0,6,12,full,0.3130453333336239,True,10000
1.0,8,16,full,0.4271854000010838,True,10000
1.0,10,20,full,0.5162008333330353,True,10000
1.0,12,24,full,0.604927433344225,True,10000
1.0,14,28,full,0.6792341333348304,True,10000
1.0,16,32,full,0.7578559333342128,True,10000
1.0,20,40,full,0.9226260666619055,True,10000
1.0,24,48,full,1.0823373000021093,False,10000
1.0,28,56,full,1.3451829000065725,False,10000
1.0,32,64,full,1.4850867333395097,False,10000
