rx_id,distance_m,distance_km,h_los_re,h_los_im,h_total_re,h_total_im,abs_h_los,abs_h_total,rss_los_dbm,rss_total_dbm,ris_gain_db
RX_01000,1000.0,1.0,-0.00011936620731890856,-0.00020674833578317953,-0.00011940144499252193,-0.00020670289670894051,0.00023873241463784304,0.00023871068801829793,-62.441772186048674,-62.44256270964681,-0.0007905235981340297
RX_01422,1422.1105527638192,1.4221105527638191,0.00016339206124224665,-3.852288241821351e-05,0.00016344601058483808,-3.850210991174068e-05,0.00016787190993968463,0.00016791965591840272,-65.50043936834035,-65.49796928661843,0.002470081721924089
RX_01844,1844.2211055276382,1.8442211055276383,-7.829006806893029e-06,0.000129211947340843,-7.82462477808243e-06,0.00012915399019466277,0.0001294489114793754,0.00012939079540725,-67.75803194289634,-67.7619323475385,-0.003900404642166677
RX_02266,2266.331658291457,2.266331658291457,-9.885899030602552e-05,-3.63749950457047e-05,-9.891606291696369e-05,-3.636243535077899e-05,0.00010533869293332763,0.00010538792249414683,-69.54824149541375,-69.54418313250484,0.004058362908907043
RX_02688,2688.4422110552764,2.6884422110552766,5.335999995711766e-05,-7.097934618192465e-05,5.338861675314349e-05,-7.09280284638287e-05,8.879953366902946e-05,8.87757265280309e-05,-71.03178629827912,-71.03411529613975,-0.002328997860630011
RX_03110,3110.5527638190956,3.1105527638190957,4.54707039123096e-05,6.18292303304848e-05,4.5511832827439416e-05,6.178681736464917e-05,7.674919307420156e-05,7.673941443199383e-05,-72.2985236382569,-72.29963038107672,-0.0011067428198288098
RX_03532,3532.6633165829144,3.5326633165829144,-6.36637119406454e-05,2.266711149261267e-05,-6.371646102309242e-05,2.263978693929296e-05,6.757859247927562e-05,6.761913455497516e-05,-73.40381715825102,-73.39860783981788,0.005209318433131216
RX_03954,3954.7738693467336,3.9547738693467336,-3.01653222761719e-06,-6.029021291257947e-05,-3.0275717603770776e-06,-6.023150583693333e-05,6.036562962252955e-05,6.030754916383824e-05,-74.38420530503583,-74.39256640894226,-0.00836110390642375
RX_04376,4376.884422110553,4.376884422110553,5.2953680392122274e-05,1.307464971161455e-05,5.3013411456332624e-05,1.306828205438111e-05,5.4543915629082384e-05,5.4600382691802434e-05,-75.2650737580078,-75.25608626665411,0.008987491353693144
RX_04798,4798.994974874372,4.798994974874372,-2.5325198326498005e-05,4.2817429125379166e-05,-2.5348626242846658e-05,4.276175049627663e-05,4.97463356156343e-05,4.9710362681289586e-05,-76.06477808952947,-76.07106136570194,-0.006283276172467822
RX_05221,5221.105527638191,5.2211055276381915,-3.098698763228879e-05,-3.3623445076058365e-05,-3.103382517278428e-05,-3.358475991305585e-05,4.5724495200125844e-05,4.5727829636585015e-05,-76.7970216089981,-76.79638821783709,0.0006333911610028053
RX_05643,5643.21608040201,5.64321608040201,3.804561243945427e-05,-1.8498291838698872e-05,3.8096432680931376e-05,-1.8464385704092784e-05,4.23043192457086e-05,4.2335230275058645e-05,-77.4723057830837,-77.46596147234503,0.0063443107386689235
RX_06065,6065.326633165829,6.065326633165829,6.290227923381578e-06,3.8854313359762256e-05,6.308166522489013e-06,3.8795548766271015e-05,3.9360190980058634e-05,3.9305057803691925e-05,-78.09885605980153,-78.11103121391672,-0.012175154115183773
RX_06487,6487.437185929648,6.487437185929648,-3.648119751219915e-05,-4.8272556805893965e-06,-3.654299144401138e-05,-4.827515096514031e-06,3.679918707430733e-05,3.686048189706911e-05,-78.68323550318296,-78.66877982625105,0.014455676931902417
RX_06909,6909.547738693467,6.909547738693467,1.4202525971834016e-05,-3.1497081845872026e-05,1.4220172098206709e-05,-3.143748810622189e-05,3.4551091282131466e-05,3.450404255926339e-05,-79.23076462118017,-79.24260038356145,-0.011835762381281256
RX_07331,7331.658291457286,7.331658291457287,2.4572872330148608e-05,2.1364656048315185e-05,2.4625163046616856e-05,2.13303997175155e-05,3.256185778816365e-05,3.257889818857369e-05,-79.74581649572357,-79.7412721505281,0.004544345195469646
RX_07753,7753.768844221106,7.7537688442211055,-2.603604856580017e-05,1.6434707386140765e-05,-2.60841905798904e-05,1.6394260274291786e-05,3.078920966489356e-05,3.080838795116136e-05,-80.23202917911752,-80.22662051092917,0.0054086681883518395
RX_08175,8175.879396984925,8.175879396984925,-7.816825948392387e-06,-2.8133857172073013e-05,-7.841843949588203e-06,-2.807576810847589e-05,2.9199600806964207e-05,2.9150356282738725e-05,-80.69246171659172,-80.70712265639655,-0.014660939804826967
RX_08597,8597.989949748744,8.597989949748744,2.775992186032386e-05,5.844103780488616e-07,2.7823126014706602e-05,5.916850782780558e-07,2.7766072772022652e-05,2.782941667484427e-05,-81.12971084867654,-81.10991793408186,0.01979291459467447
RX_09020,9020.100502512563,9.020100502512562,-8.152167869258234e-06,2.5179933996092134e-05,-8.163467445749317e-06,2.5116939537254672e-05,2.6466713377677304e-05,2.64102792953031e-05,-81.54599971614131,-81.56454011992241,-0.018540403781102555
RX_09442,9442.211055276382,9.442211055276383,-2.0793390822909807e-05,-1.4383731223640199e-05,-2.0850805102739713e-05,-1.4354597940507898e-05,2.5283528745572518e-05,2.5314236221266287e-05,-81.94324625986505,-81.93270343142744,0.010542828437607454
RX_09864,9864.321608040202,9.864321608040202,1.891590353649786e-05,-1.5096565021789971e-05,1.8960602612862203e-05,-1.5049690761347562e-05,2.4201604948003442e-05,2.4207388199784527e-05,-82.32311664985467,-82.3210413046061,0.0020753452485706703
RX_10286,10286.43216080402,10.28643216080402,8.641178102884985e-06,2.1539809712076995e-05,8.673390048294908e-06,2.148316553760878e-05,2.3208476068847462e-05,2.3167954084168993e-05,-82.68706751110466,-82.70224632393017,-0.01517881282551059
RX_10708,10708.54271356784,10.70854271356784,-2.220449399282624e-05,1.991709773413039e-06,-2.226840144626617e-05,1.9770840414724344e-06,2.229364172357145e-05,2.2355996159400152e-05,-83.03637965213858,-83.01211947329608,0.024260178842496316
RX_11130,11130.653266331658,11.130653266331658,4.315706600061846e-06,-2.1009514938561265e-05,4.3201292240897335e-06,-2.094370175418665e-05,2.1448194362496958e-05,2.138462437549828e-05,-83.37218526903632,-83.39796747590685,-0.0257822068705309
RX_11552,11552.763819095477,11.552763819095476,1.818751274928964e-05,9.810051425920486e-06,1.824964592526996e-05,9.786722373852671e-06,2.066452827878676e-05,2.070819913031046e-05,-83.69549008324013,-83.67715334977504,0.018336733465091015
RX_11974,11974.874371859296,11.974874371859295,-1.4115492084485369e-05,1.407840088760462e-05,-1.4155973860666416e-05,1.402528922191124e-05,1.9936110160692726e-05,1.9927376488191575e-05,-84.00719150478366,-84.01099747977837,-0.0038059749947052524
RX_12396,12396.984924623115,12.396984924623116,-9.097370809252847e-06,-1.6972958303971393e-05,-9.13682120182247e-06,-1.691856007247368e-05,1.925729651922609e-05,1.9228083019374896e-05,-84.30809364764926,-84.32128022849776,-0.013186580848497442
RX_12819,12819.095477386934,12.819095477386934,1.8252084045167646e-05,-3.6992606009884935e-06,1.8315936744130588e-05,-3.6770059712966693e-06,1.862318718656635e-05,1.8681378742693068e-05,-84.59891983005035,-84.57182149333144,0.02709833671890749
RX_13241,13241.206030150754,13.241206030150753,-1.657995765528561e-06,1.7953110226137095e-05,-1.655051492398642e-06,1.7885126513080627e-05,1.8029506836026852e-05,1.7961540742135418e-05,-84.88032304882586,-84.9131282452369,-0.03280519641104718
RX_13663,13663.316582914573,13.663316582914574,-1.6199079383272222e-05,-6.548158454877958e-06,-1.6265451260522904e-05,-6.531295552334527e-06,1.747250846374798e-05,1.7527770146267635e-05,-85.15289480960455,-85.12546661225846,0.02742819734608304
RX_14085,14085.427135678392,14.085427135678392,1.0607261533970404e-05,-1.3219342578331312e-05,1.064274779834226e-05,-1.3160261463979605e-05,1.6948894225091243e-05,1.692514586346084e-05,-85.41717261306026,-85.42935159622631,-0.012178983166052149
